,Framework,Parameter,Embedding_time,Rank-1 Accuracy,Macro_recall,Macro_precision,Macro_f1,KNN_params_recall,KNN_params_precision,KNN_params_f1,NaN_count,Framework_Parameter
17,DeepFace,ArcFace_mtcnn,0.5,0.9036869276111608,0.8888271604938272,0.8751820987654321,0.870901822457378,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (ArcFace_mtcnn)
18,DeepFace,Facenet_mtcnn,0.58,0.8617029767396934,0.8414814814814816,0.820063492063492,0.8155785099673988,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (Facenet_mtcnn)
19,DeepFace,Facenet512_mtcnn,0.61,0.896483375146473,0.8814197530864197,0.8608672839506172,0.8591091336646892,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (Facenet512_mtcnn)
20,DeepFace,Dlib_mtcnn,0.54,0.5970411802235288,0.5762345679012346,0.5499216102827214,0.5359985261651928,"{'metric': 'l2', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",0,DeepFace (Dlib_mtcnn)
21,DeepFace,SFace_mtcnn,0.47,0.7388379251532089,0.7065432098765432,0.6763774250440918,0.6685424595980152,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (SFace_mtcnn)
22,DeepFace,VGG-Face_retinaface,0.13,0.8063378044161794,0.7807716049382716,0.752311875367431,0.748694811361478,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (VGG-Face_retinaface)
23,DeepFace,ArcFace_retinaface,0.16,0.865612060485439,0.8503703703703703,0.8328434744268077,0.8279327668216556,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",0,DeepFace (ArcFace_retinaface)
24,DeepFace,Facenet_retinaface,0.22,0.8351531580994211,0.8140432098765432,0.7890542328042328,0.7842325904548128,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (Facenet_retinaface)
25,DeepFace,Facenet512_retinaface,0.23,0.8651995211188129,0.8464197530864199,0.8230903880070547,0.8197478755812089,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'l2', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (Facenet512_retinaface)
26,DeepFace,Dlib_retinaface,0.19,0.5550568480772311,0.5275617283950617,0.4959340885451997,0.486664401321264,"{'metric': 'l2', 'n_neighbors': 1}","{'metric': 'l2', 'n_neighbors': 1}","{'metric': 'l2', 'n_neighbors': 1}",0,DeepFace (Dlib_retinaface)
