Framework,Parameter,Embedding_time,Rank-1-Accuracy,Macro_recall,Macro_precision,Macro_f1,KNN_params_recall,KNN_params_precision,KNN_params_f1,NaN_count,Delete_count
DeepFace,VGG-Face_opencv,0.03,0.8000843063973287,0.781389847845544,0.7567117832940617,0.7500000255466309,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,31
DeepFace,ArcFace_opencv,0.06,0.8922039816517415,0.8862357754762819,0.8762878940094131,0.8691019184114697,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",141,31
DeepFace,Facenet_opencv,0.11,0.8232750656638409,0.8039572944636236,0.7816807313642756,0.7752057813047456,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,31
DeepFace,Facenet512_opencv,0.11,0.8720191271521919,0.8582981715893109,0.8371664200778124,0.832959104995929,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,31
DeepFace,Dlib_opencv,0.08,0.7281483792592985,0.7091484464902186,0.6736442179480154,0.6674334445335596,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",141,31
DeepFace,SFace_opencv,0.02,0.8340115462147312,0.8185654008438817,0.7981788956472501,0.7904891702935432,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,31
DeepFace,OpenFace_opencv,0.05,0.0753686192116798,0.0686293312875591,0.0586438664689527,0.058482488401936,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,31
DeepFace,DeepID_opencv,0.02,0.0715054057881541,0.0704513489323615,0.0598059060659751,0.0589095216252868,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",141,31
DeepFace,VGG-Face_dlib,0.04,0.8371611835298985,0.8165302579365079,0.7899633290816327,0.7860013828763828,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18,4
DeepFace,ArcFace_dlib,0.07,0.9534450651769087,0.94562251984127,0.9378985969387754,0.9355562158575552,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18,4
DeepFace,Facenet_dlib,0.12,0.882474653424374,0.8661334325396824,0.8459670847505669,0.8426475103930461,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18,4
DeepFace,Facenet512_dlib,0.12,0.9222015311400784,0.9088541666666664,0.8931250885770975,0.8915270906342335,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18,4
DeepFace,Dlib_dlib,0.09,0.9699979308917857,0.9663318452380952,0.9590649801587302,0.9585698341836736,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18,4
DeepFace,SFace_dlib,0.03,0.8266087316366645,0.806547619047619,0.7789717970521542,0.7751225812051704,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18,4
DeepFace,OpenFace_dlib,0.06,0.1452513966480446,0.1400049603174603,0.116281591156033,0.1162000311935697,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",18,4
DeepFace,DeepID_dlib,0.03,0.0676598386095592,0.0659102182539682,0.0555744922653404,0.0541741265513586,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18,4
DeepFace,VGG-Face_mtcnn,0.43,0.8174533637336466,0.7943518518518519,0.7697535273368605,0.7643868045534713,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,0
DeepFace,ArcFace_mtcnn,0.5,0.9036869276111608,0.8888271604938272,0.8751820987654321,0.870901822457378,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,0
DeepFace,Facenet_mtcnn,0.58,0.8617029767396934,0.8414814814814816,0.820063492063492,0.8155785099673988,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,0
DeepFace,Facenet512_mtcnn,0.61,0.896483375146473,0.8814197530864197,0.8608672839506172,0.8591091336646892,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,0
DeepFace,Dlib_mtcnn,0.54,0.5970411802235288,0.5762345679012346,0.5499216102827214,0.5359985261651928,"{'metric': 'l2', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",0,0
DeepFace,SFace_mtcnn,0.47,0.7388379251532089,0.7065432098765432,0.6763774250440918,0.6685424595980152,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,0
